Date_ymd,mean_temp,max_temp,min_temp,mean_pH,max_pH,min_pH,mean_SpCond,max_SpCond,min_SpCond,mean_Turbidity,max_Turbidity,min_Turbidity,mean_CHLa,max_CHLa,min_CHLa,mean_ODOsat,max_ODOsat,min_ODOsat,mean_ODOmgL,max_ODOmgL,min_ODOmgL
2009-01-07,8.0865,10,6.44,5.897,5.96,5.84,112.05,122,97,24.865,38.9,15.5,NA,-Inf,Inf,81.3775,91.4,75.7,9.60975,10.32,9.29
2009-01-08,6.4378125,8.7,5.1,5.7908333333333335,5.85,5.76,86.44791666666667,103,79,48.614583333333336,120.6,35.3,NA,-Inf,Inf,85.05729166666667,94.8,75.5,10.463125,11.08,9.3
2009-01-09,5.116145833333333,7.2,3.97,5.7560416666666665,5.79,5.72,81.04166666666667,83,78,50.63333333333333,124.6,34,NA,-Inf,Inf,86.82708333333333,94,82.7,11.049166666666666,11.41,10.78
2009-01-10,6.094270833333334,8.47,4.42,5.729791666666666,5.75,5.7,87.70833333333333,93,83,47.217708333333334,318.4,24,NA,-Inf,Inf,87.28125,95.3,83.1,10.835729166666667,11.21,10.3
2009-01-11,7.2951041666666665,8.54,6.44,5.719895833333333,5.78,5.68,96.04166666666667,107,85,36.646875,80.2,20,NA,-Inf,Inf,86.47604166666666,94.2,80.3,10.413541666666667,11.01,9.86
2009-01-12,6.286458333333333,8.48,4.14,5.747708333333334,5.83,5.67,97.69791666666667,113,74,37.278125,223.8,21.3,NA,-Inf,Inf,82.128125,92.8,73.2,10.133854166666667,10.98,9.55
2009-01-13,4.795729166666667,6.72,3.03,5.751145833333333,5.83,5.67,104.14583333333333,119,82,38.73229166666667,99.1,17.8,NA,-Inf,Inf,78.55416666666666,90.3,69.7,10.068645833333333,11.21,8.94
2009-01-14,4.1540625,6.93,1.81,5.8090625,6.03,5.72,103.5625,127,81,34.895833333333336,63.1,21.5,NA,-Inf,Inf,82.20520833333333,98.4,72.6,10.71125,12.63,9.66
2009-01-15,3.7675,6.68,2.33,5.788020833333333,5.84,5.73,113.71875,143,99,55.485416666666666,180.6,26,NA,-Inf,Inf,77.99791666666667,88.2,71.4,10.2759375,10.98,9.62
2009-01-16,2.490104166666667,4.64,1.05,5.83875,5.88,5.8,124.34375,139,110,46.62708333333333,97.5,23.6,NA,-Inf,Inf,79.18958333333333,85.7,73.6,10.798125,11.13,10.43
2009-01-17,2.5801041666666666,5.19,0.65,5.875208333333333,5.91,5.84,140.47916666666666,156,121,48.59375,105.7,27.4,NA,-Inf,Inf,79.94791666666667,86.9,76.2,10.878333333333334,11.12,10.47
2009-01-18,3.8152083333333335,5.6,2.9,5.846979166666666,5.87,5.8,146.57291666666666,163,129,67.87083333333334,151.3,25.8,NA,-Inf,Inf,77.334375,82.8,74.2,10.185416666666667,10.52,9.54
2009-01-19,3.9440625,6.37,2.61,5.831979166666667,5.85,5.8,137.57291666666666,158,126,51.9,125,21.6,NA,-Inf,Inf,75.40416666666667,78.9,72.1,9.898333333333333,10.24,9.52
2009-01-20,1.7615625,3.19,0.51,5.9440625,6.44,5.82,175.33333333333334,238,143,28.398958333333333,68.7,18.6,NA,-Inf,Inf,73.99583333333334,80.2,67.5,10.298854166666667,11.2,9.35
2009-01-21,2.592604166666667,5.75,0.77,5.846979166666666,5.88,5.82,169.25,181,155,47.3875,121.7,25.7,NA,-Inf,Inf,72.128125,82.4,65.4,9.8025,10.86,9.27
2009-01-22,3.8252083333333333,7.41,1.72,5.897083333333334,5.92,5.86,186.55208333333334,221,165,64.13854166666667,247.6,19,NA,-Inf,Inf,75.76770833333333,81.7,71.1,9.976979166666666,10.43,9.23
2009-01-23,4.995104166666667,9.03,2.48,5.897395833333333,5.93,5.87,193.40625,238,160,41.547916666666666,78.7,28.1,NA,-Inf,Inf,79.02291666666667,88.7,74.7,10.086875,10.44,9.58
2009-01-24,5.026354166666667,7.14,2.48,5.855,5.9,5.7,165.28125,194,141,73.30520833333334,917.8,22.2,NA,-Inf,Inf,76.14166666666667,84.1,66.8,9.7109375,10.28,8.51
2009-01-25,3.468541666666667,5.44,1.46,5.891354166666667,5.94,5.84,197.75,259,155,32.979166666666664,55.6,21.9,NA,-Inf,Inf,73.00729166666667,81.8,67.5,9.694270833333333,10.44,9.11
2009-01-26,5.00125,7.06,3.86,5.897291666666667,5.99,5.85,193.36458333333334,238,143,32.14479166666667,83.1,23.4,NA,-Inf,Inf,78.96875,100.3,71.4,10.060625,12.26,9.36
2009-01-27,4.541979166666667,5.23,3.86,5.874479166666667,5.93,5.79,173.98958333333334,219,147,37.69166666666667,169.6,17.1,NA,-Inf,Inf,77.109375,85,66.1,9.9584375,11.01,8.65
2009-01-28,5.8284375,10.69,3.61,5.8740625,6.16,5.78,161.04166666666666,195,130,30.353125,87,15.1,NA,-Inf,Inf,79.3375,107.6,70.1,9.878854166666667,11.94,9.21
2009-01-29,5.291041666666667,7.35,3.67,5.793958333333333,5.85,5.74,123.90625,160,81,42.9125,131.9,24.3,NA,-Inf,Inf,83.70416666666667,93,74.5,10.599375,11.38,9.46
2009-01-30,4.243541666666666,6.9,2.9,5.818229166666667,5.85,5.79,99.98958333333333,118,85,38.739583333333336,102.5,24.2,NA,-Inf,Inf,88.52083333333333,96.8,82.6,11.5221875,11.84,11.08
2009-01-31,3.6271875,6.43,2.13,5.830416666666666,5.86,5.8,113.44791666666667,130,93,44.77708333333334,293.8,21.5,NA,-Inf,Inf,86.6625,94.2,81.4,11.465208333333333,11.84,11.08
2009-02-01,5.187916666666666,9.2,2.63,5.836354166666666,5.86,5.81,129.58333333333334,143,119,46.24583333333334,241.3,23.2,NA,-Inf,Inf,85.38958333333333,96.3,76,10.840625,11.2,10.19
2009-02-02,6.233020833333334,10.19,3.94,5.8497916666666665,5.94,5.81,134.01041666666666,151,103,67.015625,257.4,27.9,NA,-Inf,Inf,86.10208333333334,96,76.6,10.644166666666667,10.93,10.05
2009-02-03,5.614270833333333,8.5,4.04,5.879166666666666,6.06,5.82,139.59375,175,114,35.354166666666664,188.1,15.1,NA,-Inf,Inf,85.29479166666667,99.5,77,10.708125,11.77,9.84
2009-02-04,3.7064583333333334,5.69,1.75,5.944166666666667,6.14,5.83,133.02083333333334,170,102,25.866666666666667,74,14.7,NA,-Inf,Inf,85.11770833333334,99.7,73.9,11.226979166666666,12.52,10.01
2009-02-05,2.868659793814433,4.82,0.83,6.842268041237113,7.83,5.92,165.36082474226805,196,118,26.51340206185567,72.5,15.3,4.1063829787234045,6.1,3,88.89690721649484,100.44,77.6,11.3404,12.34,10.91
2009-02-06,3.6078125,4.56,2.4,7.807708333333333,7.9,7.67,195.32291666666666,197,188,15.704166666666667,28,12.8,3.8854166666666665,5.6,2.6,98.91177083333334,105.58,92.9,NA,-Inf,Inf
2009-02-07,4.488333333333333,6,3.13,7.8171875,7.91,7.62,194.89583333333334,197,190,18.1625,88.7,12.1,3.875,7.2,2.8,103.29677083333333,110.05,97.25,NA,-Inf,Inf
