spring_first,spring_last,Mean...3,fall_first,fall_last,Mean...6,Duration,year
114,131,123,285,285,285,163,2009
95,119,107,276,301,289,182,2010
114,128,121,274,274,274,153,2011
81,122,102,282,282,282,181,2012
101,135,118,283,291,287,169,2013
127,139,133,278,290,284,151,2014
124,124,124,276,286,281,157,2015
115,145,130,282,295,289,159,2016
105,135,120,289,297,293,173,2017
122,122,122,288,288,288,166,2018
114,120,117,288,288,288,171,2019
135,148,142,278,299,289,147,2020
118,134,126,290,298,294,168,2021
113,134,124,274,274,274,151,2022
104,127,116,280,303,292,176,2023
112,131,122,282,290,286,164,long-term daily mean
